Stage,Problem,AC_Count,Tag
statements-3-13,A,0,
statements-3-13,B,0,
statements-3-13,C,0,
statements-3-13,D,0,
statements-3-13,E,0,
statements-3-13,F,0,
statements-3-13,G,0,
statements-3-13,H,0,
statements-3-13,I,0,
statements-3-13,J,0,
statements-3-13,K,0,
statements-3-13,L,0,
statements-3-13,M,0,
statements-3-13,N,0,
statements-3-13,O,0,
statements-3-14,A,0,
statements-3-14,B,0,
statements-3-14,C,0,
statements-3-14,D,0,
statements-3-14,E,0,
statements-3-14,F,0,
statements-3-14,G,0,
statements-3-14,H,0,
statements-3-14,I,0,
statements-3-14,J,0,
statements-3-14,K,0,
statements-3-14,L,0,
statements-3-14,M,0,
statements-3-15,A,0,
statements-3-15,B,0,
statements-3-15,C,0,
statements-3-15,D,0,
statements-3-15,E,0,
statements-3-15,F,0,
statements-3-15,G,0,
statements-3-15,H,0,
statements-3-15,I,0,
statements-3-15,J,0,
statements-3-15,K,0,
statements-3-15,L,0,
statements-3-15,M,0,
statements-3-16,A,0,
statements-3-16,B,0,
statements-3-16,C,0,
statements-3-16,D,0,
statements-3-16,E,0,
statements-3-16,F,0,
statements-3-16,G,0,
statements-3-16,H,0,
statements-3-16,I,0,
statements-3-16,J,0,
statements-3-16,K,0,
statements-3-16,L,0,
statements-3-16,M,0,
statements-3-17,A,0,
statements-3-17,B,0,
statements-3-17,C,0,
statements-3-17,D,0,
statements-3-17,E,0,
statements-3-17,F,0,
statements-3-17,G,0,
statements-3-17,H,0,
statements-3-17,I,0,
statements-3-17,J,0,
statements-3-17,K,0,
statements-3-17,L,0,
statements-3-17,M,0,
statements-3-18,A,0,
statements-3-18,B,0,
statements-3-18,C,0,
statements-3-18,D,0,
statements-3-18,E,0,
statements-3-18,F,0,
statements-3-18,G,0,
statements-3-18,H,0,
statements-3-18,I,0,
statements-3-18,J,0,
statements-3-18,K,0,
statements-3-18,L,0,
statements-3-18,M,0,
statements-3-19,A,0,
statements-3-19,B,0,
statements-3-19,C,0,
statements-3-19,D,0,
statements-3-19,E,0,
statements-3-19,F,0,
statements-3-19,G,0,
statements-3-19,H,0,
statements-3-19,I,0,
statements-3-19,J,0,
statements-3-19,K,0,
statements-3-19,L,0,
statements-3-19,M,0,
statements-3-20,A,0,
statements-3-20,B,0,
statements-3-20,C,0,
statements-3-20,D,0,
statements-3-20,E,0,
statements-3-20,F,0,
statements-3-20,G,0,
statements-3-20,H,0,
statements-3-20,I,0,
statements-3-20,J,0,
statements-3-20,K,0,
statements-3-20,L,0,
statements-3-20,M,0,
statements-3-21,A,0,
statements-3-21,B,0,
statements-3-21,C,0,
statements-3-21,D,0,
statements-3-21,E,0,
statements-3-21,F,0,
statements-3-21,G,0,
statements-3-21,H,0,
statements-3-21,I,0,
statements-3-21,J,0,
statements-3-21,K,0,
statements-3-21,L,0,
statements-3-21,M,0,
statements-3-22,A,0,
statements-3-22,B,0,
statements-3-22,C,0,
statements-3-22,D,0,
statements-3-22,E,0,
statements-3-22,F,0,
statements-3-22,G,0,
statements-3-22,H,0,
statements-3-22,I,0,
statements-3-22,J,0,
statements-3-22,K,0,
statements-3-22,L,0,
statements-3-22,M,0,
statements-3-23,A,0,
statements-3-23,B,0,
statements-3-23,C,0,
statements-3-23,D,0,
statements-3-23,E,0,
statements-3-23,F,0,
statements-3-23,G,0,
statements-3-23,H,0,
statements-3-23,I,0,
statements-3-23,J,0,
statements-3-23,K,0,
statements-3-23,L,0,
statements-3-23,M,0,
statements-3-24,A,0,
statements-3-24,B,0,
statements-3-24,C,0,
statements-3-24,D,0,
statements-3-24,E,0,
statements-3-24,F,0,
statements-3-24,G,0,
statements-3-24,H,0,
statements-3-24,I,0,
statements-3-24,J,0,
statements-3-24,K,0,
statements-3-24,L,0,
statements-3-25,A,0,
statements-3-25,B,0,
statements-3-25,C,0,
statements-3-25,D,0,
statements-3-25,E,0,
statements-3-25,F,0,
statements-3-25,G,0,
statements-3-25,H,0,
statements-3-25,I,0,
statements-3-25,J,0,
statements-3-25,K,0,
statements-3-25,L,0,
statements-3-25,M,0,
statements-3-26,A,0,
statements-3-26,B,0,
statements-3-26,C,0,
statements-3-26,D,0,
statements-3-26,E,0,
statements-3-26,F,0,
statements-3-26,G,0,
statements-3-26,H,0,
statements-3-26,I,0,
statements-3-26,J,0,
statements-3-26,K,0,
statements-3-26,L,0,
statements-3-27,A,0,
statements-3-27,B,0,
statements-3-27,C,0,
statements-3-27,D,0,
statements-3-27,E,0,
statements-3-27,F,0,
statements-3-27,G,0,
statements-3-27,H,0,
statements-3-27,I,0,
statements-3-27,J,0,
statements-3-27,K,0,
statements-3-27,L,0,
statements-3-27,M,0,
statements-3-28,A,0,
statements-3-28,B,0,
statements-3-28,C,0,
statements-3-28,D,0,
statements-3-28,E,0,
statements-3-28,F,0,
statements-3-28,G,0,
statements-3-28,H,0,
statements-3-28,I,0,
statements-3-28,J,0,
statements-3-28,K,0,
statements-3-29,A,0,
statements-3-29,B,0,
statements-3-29,C,0,
statements-3-29,D,0,
statements-3-29,E,0,
statements-3-29,F,0,
statements-3-29,G,0,
statements-3-29,H,0,
statements-3-29,I,0,
statements-3-29,J,0,
statements-3-29,K,0,
statements-3-29,L,0,
statements-3-29,M,0,
statements-3-30,A,0,
statements-3-30,B,0,
statements-3-30,C,0,
statements-3-30,D,0,
statements-3-30,E,0,
statements-3-30,F,0,
statements-3-30,G,0,
statements-3-30,H,0,
statements-3-30,I,0,
statements-3-30,J,0,
statements-3-30,K,0,
statements-3-30,L,0,
statements-3-31,A,0,
statements-3-31,B,0,
statements-3-31,C,0,
statements-3-31,D,0,
statements-3-31,E,0,
statements-3-31,F,0,
statements-3-31,G,0,
statements-3-31,H,0,
statements-3-31,I,0,
statements-3-31,J,0,
statements-3-31,K,0,
statements-3-31,L,0,
statements-3-32,A,0,
statements-3-32,B,0,
statements-3-32,C,0,
statements-3-32,D,0,
statements-3-32,E,0,
statements-3-32,F,0,
statements-3-32,G,0,
statements-3-32,H,0,
statements-3-32,I,0,
statements-3-32,J,0,
statements-3-32,K,0,
statements-3-32,L,0,
statements-3-32,M,0,
statements-3-33,A,0,
statements-3-33,B,0,
statements-3-33,C,0,
statements-3-33,D,0,
statements-3-33,E,0,
statements-3-33,F,0,
statements-3-33,G,0,
statements-3-33,H,0,
statements-3-33,I,0,
statements-3-33,J,0,
statements-3-33,K,0,
statements-3-33,L,0,
statements-3-33,M,0,
statements-3-33,N,0,
statements-3-34,A,0,
statements-3-34,B,0,
statements-3-34,C,0,
statements-3-34,D,0,
statements-3-34,E,0,
statements-3-34,F,0,
statements-3-34,G,0,
statements-3-34,H,0,
statements-3-34,I,0,
statements-3-34,J,0,
statements-3-34,K,0,
statements-3-34,L,0,
statements-3-34,M,0,
statements-3-34,N,0,
statements-3-34,O,0,
statements-3-35,A,0,
statements-3-35,B,0,
statements-3-35,C,0,
statements-3-35,D,0,
statements-3-35,E,0,
statements-3-35,F,0,
statements-3-35,G,0,
statements-3-35,H,0,
statements-3-35,I,0,
statements-3-35,J,0,
statements-3-35,K,0,
statements-3-35,L,0,
statements-3-36,A,0,
statements-3-36,B,0,
statements-3-36,C,0,
statements-3-36,D,0,
statements-3-36,E,0,
statements-3-36,F,0,
statements-3-36,G,0,
statements-3-36,H,0,
statements-3-36,I,0,
statements-3-36,J,0,
statements-3-36,K,0,
statements-3-36,L,0,
statements-3-36,M,0,
statements-3-37,A,0,
statements-3-37,B,0,
statements-3-37,C,0,
statements-3-37,D,0,
statements-3-37,E,0,
statements-3-37,F,0,
statements-3-37,G,0,
statements-3-37,H,0,
statements-3-37,I,0,
statements-3-37,J,0,
statements-3-37,K,0,
statements-3-37,L,0,
statements-3-37,M,0,
statements-3-39,A,0,
statements-3-39,B,0,
statements-3-39,C,0,
statements-3-39,D,0,
statements-3-39,E,0,
statements-3-39,F,0,
statements-3-39,G,0,
statements-3-39,H,0,
statements-3-39,I,0,
statements-3-39,J,0,
statements-3-39,K,0,
statements-3-39,L,0,
statements-3-39,M,0,
statements-3-39,N,0,
statements-3-39,O,0,
statements-3-39,P,0,
statements-3-39,Q,0,
statements-3-40,A,0,
statements-3-40,B,0,
statements-3-40,C,0,
statements-3-40,D,0,
statements-3-40,E,0,
statements-3-40,F,0,
statements-3-40,G,0,
statements-3-40,H,0,
statements-3-40,I,0,
statements-3-40,J,0,
statements-3-40,K,0,
statements-3-40,L,0,
statements-3-40,M,0,
statements-3-40,N,0,
